city,district,property_type,area_m2,price_syp,price_usd,source,created_at
damascus,shaalaan,house,164,1390106612,,seed,2025-12-07T08:03:28.557Z
rif dimashq,qudsaya project,studio,26,206667098,,seed,2026-02-23T02:02:57.557Z
rif dimashq,jaramana,apartment,193,705126465,,seed,2026-01-09T08:08:01.557Z
damascus,mashrou dummar,studio,35,404191563,,seed,2025-12-13T17:35:53.557Z
rif dimashq,darayya,land,484,1345377102,,seed,2026-01-02T01:46:11.557Z
damascus,malki,apartment,110,1412010804,,seed,2026-03-01T18:47:10.557Z
damascus,mashrou dummar,land,555,2519721053,,seed,2026-02-07T04:49:59.557Z
damascus,hay al ameen,studio,36,420808172,,seed,2026-02-15T05:33:54.557Z
damascus,midan,studio,57,204907127,,seed,2026-01-08T06:06:53.557Z
damascus,kafr sousa,house,140,766460406,,seed,2026-02-20T03:00:12.557Z
damascus,muhajireen,studio,48,702071712,,seed,2025-12-04T13:14:27.557Z
damascus,khaled ibn al walid,apartment,176,1610314652,,seed,2025-12-12T05:02:08.557Z
damascus,mazzeh,apartment,129,823283246,,seed,2026-03-01T05:48:42.557Z
damascus,malki,house,169,1394237306,,seed,2026-02-19T03:57:12.557Z
rif dimashq,harasta,apartment,159,435902501,,seed,2026-01-12T00:11:37.557Z
damascus,mazzeh,studio,40,243701788,,seed,2025-12-25T20:30:46.557Z
rif dimashq,qudsaya project,villa,312,4265136200,,seed,2025-12-26T14:40:12.557Z
damascus,kafr sousa,apartment,172,1165749519,,seed,2025-12-20T00:12:40.557Z
damascus,kafr sousa,land,444,1615198203,,seed,2025-11-11T04:17:20.557Z
damascus,kafr sousa,house,208,1032713372,,seed,2025-12-24T07:06:02.557Z
damascus,shaalaan,house,218,1735177842,,seed,2025-11-15T02:17:12.557Z
damascus,mashrou dummar,apartment,141,1539698712,,seed,2025-12-23T03:27:02.557Z
rif dimashq,qudsaya project,apartment,172,1667366907,,seed,2025-12-08T20:48:58.557Z
damascus,malki,apartment,120,1518597588,,seed,2026-02-03T16:54:50.557Z
damascus,mazzeh,apartment,125,604169059,,seed,2026-01-25T21:14:10.557Z
rif dimashq,qudsaya project,villa,426,3396770640,,seed,2026-01-31T00:17:20.557Z
damascus,mashrou dummar,apartment,102,1087067270,,seed,2026-01-29T00:51:40.557Z
rif dimashq,sahnaya,house,154,591733939,,seed,2025-12-18T17:16:20.557Z
damascus,abu rummaneh,house,106,1069324793,,seed,2025-12-05T02:59:10.557Z
damascus,baghdad,apartment,135,1427962721,,seed,2026-01-09T09:15:20.557Z
damascus,shaalaan,apartment,73,822134981,,seed,2025-11-07T17:15:51.557Z
damascus,rukn al-din,studio,49,168728380,,seed,2026-01-06T20:16:52.557Z
damascus,shaalaan,apartment,144,1417999863,,seed,2026-01-13T09:19:38.557Z
rif dimashq,qudsaya project,apartment,153,1237255242,,seed,2026-02-04T12:54:44.557Z
rif dimashq,qudsaya project,apartment,73,664274283,,seed,2026-02-12T16:59:22.557Z
rif dimashq,qudsaya project,apartment,178,1588009756,,seed,2026-01-10T15:21:40.557Z
